Chinese,ISO Name,Native,639-1,639-2/T,639-2/B
阿布哈兹语,Abkhazian,"аҧсуа бызшәа, аҧсшәа",ab,abk,abk
阿法尔语,Afar,Afaraf,aa,aar,aar
南非语,Afrikaans,Afrikaans,af,afr,afr
阿坎语,Akan,Akan,ak,aka,aka
阿尔巴尼亚语,Albanian,Shqip,sq,sqi,alb
阿姆哈拉语,Amharic,አማርኛ,am,amh,amh
阿拉伯语,Arabic,العربية,ar,ara,ara
阿拉贡语,Aragonese,aragonés,an,arg,arg
亚美尼亚语,Armenian,"Հայերեն, Հայերէն",hy,hye,arm
阿萨姆语,Assamese,অসমীয়া,as,asm,asm
阿瓦尔语,Avaric,"авар мацӀ, магӀарул мацӀ",av,ava,ava
阿维斯陀语,Avestan,avesta,ae,ave,ave
艾马拉语 巴斯克语,Aymara,aymar aru,ay,aym,aym
阿塞拜疆语,Azerbaijani,azərbaycan dili,az,aze,aze
班巴拉语,Bambara,bamanankan,bm,bam,bam
巴什基尔语,Bashkir,башҡорт теле,ba,bak,bak
巴斯克语,Basque,"euskara, euskera",eu,eus,baq
白俄罗斯语,Belarusian,беларуская мова,be,bel,bel
孟加拉语,Bengali,বাংলা,bn,ben,ben
比哈尔语,Bihari languages,भोजपुरी,bh,bih,bih
比斯拉马语,Bislama,Bislama,bi,bis,bis
波斯尼亚语,Bosnian,bosanski jezik,bs,bos,bos
布列塔尼语,Breton,brezhoneg,br,bre,bre
保加利亚语,Bulgarian,български език,bg,bul,bul
缅甸语,Burmese,ဗမာစာ,my,mya,bur
加泰隆语,"Catalan, Valencian","català, valencià",ca,cat,cat
高棉语,Central Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km,khm,khm
查莫罗语,Chamorro,Chamoru,ch,cha,cha
车臣语,Chechen,нохчийн мотт,ce,che,che
齐切瓦语,"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny,nya,nya
汉语,Chinese,漢語、汉语、华语,zh,zho,chi
教会斯拉夫语,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",ѩзыкъ словѣньскъ,cu,chu,chu
楚瓦什语,Chuvash,чӑваш чӗлхи,cv,chv,chv
康瓦尔语,Cornish,Kernewek,kw,cor,cor
科西嘉语,Corsican,"corsu, lingua corsa",co,cos,cos
克里语,Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre
克罗地亚语,Croatian,hrvatski jezik,hr,hrv,hrv
捷克语,Czech,"čeština, český jazyk",cs,ces,cze
丹麦语,Danish,dansk,da,dan,dan
迪维西语,"Divehi, Dhivehi, Maldivian",ދިވެހި,dv,div,div
荷兰语,"Dutch, Flemish","Nederlands, Vlaams",nl,nld,dut
宗喀语,Dzongkha,རྫོང་ཁ,dz,dzo,dzo
英语,English,English,en,eng,eng
世界语,Esperanto,Esperanto,eo,epo,epo
爱沙尼亚语,Estonian,"eesti, eesti keel",et,est,est
埃维语,Ewe,Eʋegbe,ee,ewe,ewe
法罗语,Faroese,føroyskt,fo,fao,fao
斐济语,Fijian,vosa Vakaviti,fj,fij,fij
芬兰语,Finnish,"suomi, suomen kieli",fi,fin,fin
法语,French,"français, langue française",fr,fra,fre
富拉语,Fulah,"Fulfulde, Pulaar, Pular",ff,ful,ful
苏格兰盖尔语,"Gaelic, Scottish Gaelic",Gàidhlig,gd,gla,gla
加利西亚语,Galician,Galego,gl,glg,glg
卢干达语,Ganda,Luganda,lg,lug,lug
格鲁吉亚语,Georgian,ქართული,ka,kat,geo
德语,German,Deutsch,de,deu,ger
希腊语,Greek,ελληνικά,el,ell,gre
瓜拉尼语,Guarani,Avañe'ẽ,gn,grn,grn
古吉拉特语,Gujarati,ગુજરાતી,gu,guj,guj
海地克里奥尔语,"Haitian, Haitian Creole",Kreyòl ayisyen,ht,hat,hat
豪萨语,Hausa,(Hausa) هَوُسَ,ha,hau,hau
希伯来语,Hebrew,עברית,he,heb,heb
赫雷罗语,Herero,Otjiherero,hz,her,her
印地语,Hindi,"हिन्दी, हिंदी",hi,hin,hin
希里木托语,Hiri Motu,Hiri Motu,ho,hmo,hmo
匈牙利语,Hungarian,magyar,hu,hun,hun
冰岛语,Icelandic,Íslenska,is,isl,ice
伊多语,Ido,Ido,io,ido,ido
伊博语,Igbo,Asụsụ Igbo,ig,ibo,ibo
印尼语,Indonesian,Bahasa Indonesia,id,ind,ind
因特语,Interlingua,Interlingua,ia,ina,ina
西方国际语,"Interlingue, Occidental","Occidental , Interlingue",ie,ile,ile
伊努克提图特语,Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,iku,iku
依努庇亚克语,Inupiaq,"Iñupiaq, Iñupiatun",ik,ipk,ipk
爱尔兰语,Irish,Gaeilge,ga,gle,gle
意大利语,Italian,Italiano,it,ita,ita
日语,Japanese,日本語 ／ にほんご,ja,jpn,jpn
爪哇语,Javanese,"ꦧꦱꦗꦮ, Basa Jawa",jv,jav,jav
格陵兰语,"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl,kal,kal
康纳达语,Kannada,ಕನ್ನಡ,kn,kan,kan
卡努里语,Kanuri,Kanuri,kr,kau,kau
喀什米尔语,Kashmiri,"कश्मीरी, كشميري",ks,kas,kas
哈萨克语,Kazakh,қазақ тілі,kk,kaz,kaz
基库尤语,"Kikuyu, Gikuyu",Gĩkũyũ,ki,kik,kik
卢旺达语,Kinyarwanda,Ikinyarwanda,rw,kin,kin
柯尔克孜语,"Kirghiz, Kyrgyz","Кыргызча, Кыргыз тили",ky,kir,kir
科米语,Komi,коми кыв,kv,kom,kom
刚果语,Kongo,Kikongo,kg,kon,kon
韩语,Korean,朝鲜语： 한국어 ／ 韓國語 朝鲜语： 朝鮮말 ／ 조선말,ko,kor,kor
宽亚玛语,"Kuanyama, Kwanyama",Kuanyama,kj,kua,kua
库尔德语,Kurdish,"Kurdî, کوردی",ku,kur,kur
老挝语,Lao,ພາສາລາວ,lo,lao,lao
拉丁语,Latin,"latine, lingua latina",la,lat,lat
拉脱维亚语,Latvian,latviešu valoda,lv,lav,lav
林堡语,"Limburgan, Limburger, Limburgish",Limburgs,li,lim,lim
林格拉语,Lingala,Lingála,ln,lin,lin
立陶宛语,Lithuanian,lietuvių kalba,lt,lit,lit
卢巴卡丹加语,Luba-Katanga,Kiluba,lu,lub,lub
卢森堡语,"Luxembourgish, Letzeburgesch",Lëtzebuergesch,lb,ltz,ltz
马其顿语,Macedonian,македонски јазик,mk,mkd,mac
马拉加斯语,Malagasy,fiteny malagasy,mg,mlg,mlg
马来语,Malay,"Bahasa Melayu, بهاس ملايو",ms,msa,may
马拉亚拉姆语,Malayalam,മലയാളം,ml,mal,mal
马耳他语,Maltese,Malti,mt,mlt,mlt
马恩岛语,Manx,"Gaelg, Gailck",gv,glv,glv
毛利语,Maori,te reo Māori,mi,mri,mao
马拉提语,Marathi,मराठी,mr,mar,mar
马绍尔语,Marshallese,Kajin M̧ajeļ,mh,mah,mah
蒙古语,Mongolian,Монгол хэл,mn,mon,mon
瑙鲁语,Nauru,Dorerin Naoero,na,nau,nau
纳瓦荷语,"Navajo, Navaho",Diné bizaad,nv,nav,nav
恩敦加语,Ndonga,Owambo,ng,ndo,ndo
尼泊尔语,Nepali,नेपाली,ne,nep,nep
北恩德贝莱语,North Ndebele,isiNdebele,nd,nde,nde
北萨米语,Northern Sami,Davvisámegiella,se,sme,sme
挪威语,Norwegian,Norsk,no,nor,nor
书面挪威语,Norwegian Bokmål,Norsk Bokmål,nb,nob,nob
新挪威语,Norwegian Nynorsk,Norsk Nynorsk,nn,nno,nno
奥克语,Occitan,"occitan, lenga d'òc",oc,oci,oci
欧及布威语,Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj,oji,oji
奥里亚语,Oriya,ଓଡ଼ିଆ,or,ori,ori
奥罗莫语,Oromo,Afaan Oromoo,om,orm,orm
奥塞提语,"Ossetian, Ossetic",ирон æвзаг,os,oss,oss
巴利语,Pali,"पालि, पाळि",pi,pli,pli
普什图语,"Pashto, Pushto",پښتو,ps,pus,pus
波斯语,Persian,فارسی,fa,fas,per
波兰语,Polish,"język polski, polszczyzna",pl,pol,pol
葡萄牙语,Portuguese,Português,pt,por,por
旁遮普语,"Punjabi, Panjabi","ਪੰਜਾਬੀ, پنجابی",pa,pan,pan
奇楚瓦语,Quechua,"Runa Simi, Kichwa",qu,que,que
罗马尼亚语,"Romanian, Moldavian, Moldovan",Română,ro,ron,rum
罗曼什语,Romansh,Rumantsch Grischun,rm,roh,roh
克伦地语,Rundi,Ikirundi,rn,run,run
俄语,Russian,русский,ru,rus,rus
萨摩亚语,Samoan,gagana fa'a Samoa,sm,smo,smo
桑戈语,Sango,yângâ tî sängö,sg,sag,sag
梵语,Sanskrit,संस्कृतम्,sa,san,san
撒丁语,Sardinian,sardu,sc,srd,srd
塞尔维亚语,Serbian,српски језик,sr,srp,srp
绍纳语,Shona,chiShona,sn,sna,sna
彝语北部方言,"Sichuan Yi, Nuosu",ꆈꌠ꒿ Nuosuhxop,ii,iii,iii
信德语,Sindhi,"सिन्धी, سنڌي، سندھی",sd,snd,snd
僧伽罗语,"Sinhala, Sinhalese",සිංහල,si,sin,sin
斯洛伐克语,Slovak,"Slovenčina, Slovenský Jazyk",sk,slk,slo
斯洛文尼亚语,Slovenian,"Slovenski Jezik, Slovenščina",sl,slv,slv
索马里语,Somali,"Soomaaliga, af Soomaali",so,som,som
南恩德贝勒语,South Ndebele,isiNdebele,nr,nbl,nbl
塞索托语,Southern Sotho,Sesotho,st,sot,sot
西班牙语,"Spanish, Castilian",Español,es,spa,spa
巽他语,Sundanese,Basa Sunda,su,sun,sun
斯瓦希里语,Swahili,Kiswahili,sw,swa,swa
史瓦帝语,Swati,SiSwati,ss,ssw,ssw
瑞典语,Swedish,Svenska,sv,swe,swe
他加禄语,Tagalog,Wikang Tagalog,tl,tgl,tgl
塔希提语,Tahitian,Reo Tahiti,ty,tah,tah
塔吉克语,Tajik,"тоҷикӣ, toçikī, تاجیکی",tg,tgk,tgk
泰米尔语,Tamil,தமிழ்,ta,tam,tam
鞑靼语,Tatar,"татар теле , tatar tele",tt,tat,tat
泰卢固语,Telugu,తెలుగు,te,tel,tel
泰语,Thai,ไทย,th,tha,tha
藏语,Tibetan,བོད་ཡིག,bo,bod,tib
提格利尼亚语,Tigrinya,ትግርኛ,ti,tir,tir
汤加语,Tonga,Faka Tonga,to,ton,ton
聪加语,Tsonga,Xitsonga,ts,tso,tso
札那语,Tswana,Setswana,tn,tsn,tsn
土耳其语,Turkish,Türkçe,tr,tur,tur
土库曼语,Turkmen,"Türkmen, Түркмен",tk,tuk,tuk
契维语,Twi,Twi,tw,twi,twi
维吾尔语,"Uighur, Uyghur","ئۇيغۇرچە, Uyghurche",ug,uig,uig
乌克兰语,Ukrainian,Українська,uk,ukr,ukr
乌尔都语,Urdu,اردو,ur,urd,urd
乌兹别克语,Uzbek,"Oʻzbek, Ўзбек, أۇزبېك",uz,uzb,uzb
文达语,Venda,Tshivenḓa,ve,ven,ven
越南语,Vietnamese,Tiếng Việt,vi,vie,vie
沃拉普克语,Volapük,Volapük,vo,vol,vol
瓦隆语,Walloon,Walon,wa,wln,wln
威尔士语,Welsh,Cymraeg,cy,cym,wel
弗里斯兰语,West Frisian,Frysk,fy,fry,fry
沃洛夫语,Wolof,Wollof,wo,wol,wol
科萨语,Xhosa,isiXhosa,xh,xho,xho
意第绪语,Yiddish,ייִדיש,yi,yid,yid
约鲁巴语,Yoruba,Yorùbá,yo,yor,yor
壮语,"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za,zha,zha
祖鲁语,Zulu,isiZulu,zu,zul,zul
